fixed acidity,volatile acidity,pH,sulphates,alcohol,quality
7.4,0.7,3.51,0.56,9.4,5
7.8,0.88,3.2,0.68,9.8,5
7.8,0.76,3.26,0.65,9.8,5
11.2,0.28,3.16,0.58,9.8,6
7.4,0.7,3.51,0.56,9.4,5
7.4,0.66,3.51,0.56,9.4,5
7.9,0.6,3.3,0.46,9.4,5
7.3,0.65,3.39,0.47,10,7
7.8,0.58,3.36,0.57,9.5,7
7.5,0.5,3.35,0.8,10.5,5
6.7,0.58,3.28,0.54,9.2,5
7.5,0.5,3.35,0.8,10.5,5
5.6,0.615,3.58,0.52,9.9,5
7.8,0.61,3.26,1.56,9.1,5
8.9,0.62,3.16,0.88,9.2,5
8.9,0.62,3.17,0.93,9.2,5
8.5,0.28,3.3,0.75,10.5,7
8.1,0.56,3.11,1.28,9.3,5
7.4,0.59,3.38,0.5,9,4
7.9,0.32,3.04,1.08,9.2,6
8.9,0.22,3.39,0.53,9.4,6
7.6,0.39,3.52,0.65,9.7,5
7.9,0.43,3.17,0.91,9.5,5
8.5,0.49,3.17,0.53,9.4,5
6.9,0.4,3.43,0.63,9.7,6
6.3,0.39,3.34,0.56,9.3,5
7.6,0.41,3.28,0.59,9.5,5
7.9,0.43,3.17,0.91,9.5,5
7.1,0.71,3.47,0.55,9.4,5
7.8,0.645,3.38,0.59,9.8,6
6.7,0.675,3.35,0.54,10.1,5
6.9,0.685,3.46,0.57,10.6,6
8.3,0.655,3.17,0.66,9.8,5
6.9,0.605,3.45,0.52,9.4,6
5.2,0.32,3.38,0.55,9.2,5
7.8,0.645,3.4,0.55,9.6,6
7.8,0.6,3.42,0.6,10.8,6
8.1,0.38,3.23,0.73,9.7,7
5.7,1.13,3.5,0.48,9.8,4
7.3,0.45,3.33,0.83,10.5,5
7.3,0.45,3.33,0.83,10.5,5
8.8,0.61,3.26,0.51,9.3,4
7.5,0.49,3.21,0.9,10.5,6
8.1,0.66,3.3,1.2,10.3,5
6.8,0.67,3.48,0.52,9.5,5
4.6,0.52,3.9,0.56,13.1,4
7.7,0.935,3.25,0.73,9.2,5
8.7,0.29,3.25,0.58,9.5,5
6.4,0.4,3.34,0.56,9.2,5
5.6,0.31,3.32,0.58,9.2,5
8.8,0.66,3.15,0.74,9.2,5
6.6,0.52,3.4,0.63,9.4,6
6.6,0.5,3.39,0.64,9.4,6
8.6,0.38,3.2,0.56,9.4,5
7.6,0.51,3.17,0.63,10.2,6
